paper_id,title,journal,year,abstract,link
P0011,Calibration of miniature reactor power using solid state footprint detectors,Iranian Journal of Radiation Safety and Measurement,2023,"There are several ways to measure the power of the reactor.In nuclear reactors, power is directly related to neutron flux, so the usual way to measure power is to detect neutron flux in the heart of the reactor.The miniature neutron fountain reactor (MNSR [1]) uses two fission chamber neutron detectors (FC [1]) to be connected to computer and console control systems.These detectors represent the reactor's power and their output is important in accuracy of the test and safety results of the reactor.As a result, the calibration of these detectors is essential.It is important to note that calibration measurements should be done in a neutron-gama environment very similar to the environment in which the detector is used later.In this study, the calibration of the fission chamber detectors in the heart of the miniature reactor was performed using solid state traces (SSNTD).The calibration coefficient of the detectors connected to the computer and console control system is 1/2 and 0.5, respectively.",https://en.civilica.com/doc/1934101/
P0012,Simulation of Pulse Nutrone Springs Test in the Heart of Tehran Research Reactor,journal of nuclear Science and technology,2022,"One of the useful methods for steady measuring neutron instant reactor in the heart of the nuclear reactor is the testing of the neutron pulse spring.Given that the MCNPX computational code is based on the Monte Carlo method, this code is capable of pursuing the behavior of the particle time function in static systems.This capability was used in this research and the testing of neutron pulse fountain has been simulated in the heart of the Tehran Research Reactor.For this purpose, the Tehran Research Reactor Reactor System was evaluated in various modes of sub -emergencies using the above method and in any constant state of instant neutron was estimated.Thus, using the reactor's immediate neutrone reactor and reactor neutron spraying constant, the reactor heart synthics parameters are also calculated.The calculated values ​​are good compared to the results reported in the references.",https://en.civilica.com/doc/1430018/
P0013,Design and manufacture of flexible polymer composite shielding for nutron-Gama mixed fields,Iranian Journal of Radiation Safety and Measurement,2019,"In this study, a flexible composite shield was designed and manufactured for a combination of polyethylene, tungsten and carbide for the mixed neutron-gama fields.For this purpose, in the first step, theoretical studies using MCNP multifunctional code and secondly according to the results of simulation studies, for the first time in the country of multipurpose composite using the hard phase composition of the carbide particleTungsten metal powder and a combination of different types of soft and hard polyethylene were made in laboratory in the center of Iran Polymer and Petrochemical Company.In the third stage for shielding, the weakening of the AM-BEF Springs neutron flux was measured using the 4BF detector and the weakening of the Gama Springs of the Sizium Springs µCI ۱۰۰۰ Using the NAI detector.The results show that in polyethylene/ carbide/ tungsten (PE/ B4C/ W) composite due to the micrometer dimensions of the reinforcement particles and the upper cross -sectional level of radioactive beam action with these particles, the combined shield with much less thickness than the shieldsThe usual has the ability to absorb more absorption against gamma and neutrons.The thickness of 1.5 cm with 2 % tungsten and 2 % boron absorbs about 2 percent of the ampel-berilium spring neutrons, and reduces the cs spring gamma gamma flux by 2 cm thick.",https://en.civilica.com/doc/1423189/
P0014,Studying the Biological Effects of Rapid Neutrons (MEV3-5) by Monte Carlo's method on the atomic structure of the living cells,journal of nuclear Science and technology,2020,"The present study examines the direct effects of rapid neutron beams in the energy range 1 to MEV ۱۴ and calculates the dual and bilateral failures of the DNA atomic structure by Montarloo.The Geant 4 tool and the low energy package package were used.The atomic structure of the DNA extracted from the protein database and the water material were selected as the environment.In the physics of the list of low energy related, the step length is nanomed and lower, and on the other hand, the average free path of neutrons within the range in question was obtained.With these conditions, the program will also be prolonged using a computing computer.As a result, the spectrum of secondary particles caused by the interaction of neutrons with the atoms of water molecules was shining.The spectrum of secondary particles was extracted with the help of the EndF library and theoretical calculations.This reduced the duration of the program to more than one tenth.Then relative biological effectiveness, RBE, neutrons were calculated as reference radiation by selecting cobalt gamma rays.The results predict the almost consistent behavior for RBE in terms of a function of energy, which is well in line with other research.",https://en.civilica.com/doc/1361464/
P0015,Impact of direct and elliptical neutron guidelines with nickel -coating on the distribution of neutron intensity,Scientific Journal of Advanced Defense Science and Technology,2019,"Concentration of output neutrons from neutron springs on the target with energy distribution and specific intensity plays an important role in various applications.In this paper, the impact of the direct and elliptical guidelines on the concentration of neutron intensity of the neutron fountain of the neutron cylindrical distribution is studied at 0.5 Angstrom to 5 angstrom on the sample.Simulations are performed using the Montarlo Mcstas simulation code and the impact of different direct and elliptical neutron conductors on the intensity of neutrons has been investigated.Then the results of the direct and elliptical guide system are compared.The role of direct and elliptical guidance length shows that as the guidance length increases, the output intensity increases and decreases after reaching an optimal length.To directly guide, optimize the springs to the guidance has the highest impact on the intensity of the output neutrons depending on the wavelength, while for the elliptical guidance, the radius optimization has the highest effect on the intensity of the output neutrons depending on the wavelength.Finally, the results show that after the optimization of the elliptical guidance performance is better than the direct guidance.",https://en.civilica.com/doc/934541/
P0016,"Microwave welding spit and its effects on crystalline structure, microwave and microwave properties of Ceramic Dio2tio3",Advanced materials and technologies,2019,"In this study, Zinter Ceramic Li2tio3 was done in two conventional and microwave methods.Maximum density G/cm3 was 08.08 (90.58 % theory density) was obtained by a regular zinetter at 200 temperatures and 3 three hours of maintenance, while the maximum density g/cm3 was 12/3 (91.76 % theory density) The microwave's ornament was obtained at 19300 temperatures without storage time.The DTA-TG method of thermal behavior was performed by the XRD fuzzy samples, and the sample microstructure was done by Fe-SEM.Also, the microwave dialectric properties were measured.The results of the XRD show that the peak (002), which appears at 2θ = 18.46˚, which is related to the regularization of cation layers in the structure and formation of the network cloud, is more intense in the microwave's zinetter.SEM microstructured observations indicate that the zinter parts of the microwave furnace are more fine than the same specimen in the ordinary furnace.The maximum dialectic microwave properties were obtained after the zinetter in the ordinary furnace at ˚C1200 temperatures and were obtained at εr = 20.29 and Q × F = 26191 GHz, while the maximum dialectic microwave properties after ZinterThe temperature of ˚C1300 was obtained with εr = 20.86 and × 25610 GHz.",https://en.civilica.com/doc/951458/
P0017,Role 1 (LI3) in the production and birth of tritium,The 7th scientific conference of applied research in science and technology of Iran,2023,"To keep the plasma warm, a thick, heavy -duty coating is required, three main goals: A: Carrying of neutrons produced by fusion and converting their energy to heat b: production of tritium to supply fuel to the dootrium reaction (DT) and c: C:Protect superconducting magnets against neutrons radiation.Tokamak has features such as a vacuum -shaped justification that encompasses plasma.The coating, whose main task is to absorb Mev2 and plasma neutrons with tritium needed to react.The tone bonds in which the currents in these curls cause a polar field to be produced, and the polar bonds that produce the flow in these bonds produce a tone field.",https://en.civilica.com/doc/1672890/
P0018,Production and characterization of Bamgal۱۰O2: EU1+ and reviews it as an detector in beta particulate matter,Scientific Journal of Advanced Defense Science and Technology,2021,"In this work, the nanoparticles of the Bamgal۱۰O2 were prepared with and without doping with the EU۲+ by a new, simple combination of urea and glycine without the use of a revival atmosphere.Mortrock, structure, phase purity and nanoparticles were examined, respectively, with the scanning electron microscopy (Fe-sem), XRD pattern, and photoluminescence (PL), respectively.The effect of urea fuel was studied alone in combination with glycine in the revival of EU3+ to EU1+.The results of the morphology and X -ray diffraction represent the structure of a narrow rice similar to rice seeds in about 1 to 2 nm with almost high purity.In the sample of Urugus and synthesized with combined urea and glycine fuel, the photoluminescent emission spectrum was observed in the wavelength range of 1 to 2 nm with a centrality of 1 nm.The sample sausage response to the radiation of the 4SR and 4AM springs was evaluated as the springs of pregnant and gamma particles and the ability to separate beta and gamma radiation in the 4YS / Springs.The results showed that Bamgal۱۰O2 nanoparticles duplicated with EU+1 showed good sensitivity to beta particles and can be a good option for beta particle detection applications.",https://en.civilica.com/doc/1223935/
P0019,Hydrogen isotopes separated by altered metal organic frames,journal of nuclear Science and technology,2023,"The separation of light isotopes can be obtained by the limiting mechanism in the structures of the ecstasy or strong absorption.Organic frameworks due to adjustable porous structure and relatively strong absorption stations appear to be suitable for isotope separation.In this study, the formation of dihydrogen complexes in the vicinity of the open metal position of the metal organic frameworks was studied.In this regard, in the first step, the electron structure of the metal -based framework based on the first row of intermediary metals has been studied using density function theory.Then, using the quantum chemistry approach and considerations related to the potential energy level of action between the hydrogen molecule and open metal stations, it has been studied.The results show that the FE-MOF structure has a deeper potential and creates a higher chance of isotope separation due to the effective energy separation of zero point.",https://en.civilica.com/doc/1768561/
P0020,Studying the role of high -density carbon dual -carbon dual -density layer,journal of nuclear Science and technology,2023,"The high -density carbon density layer is one of the promising options in its warmer in the goals of the fabrication.In order to reduce hydrodynamic instability as well as the preservation of the pre -heating phenomenon, the design of a binary laminate with the outer layer of high density carbon has recently been used by researchers.Therefore, in this study, we examined the double-layer of the desired spherical target with a single-layer polystyrene laminate using the Multi-OFE hydrodynamic code.This goal was subjected to the radiation of symmetrical laser beams with NS3/1 pulse length, wavelength of 0.5 and total energy of MJ 0.5.Our calculations show that the optimal thickness of the carbon is about 1.5 mm.The use of dual -lane layer will increase the laser energy absorbed at the target surface by approximately 1 %.Increasing the absorbed energy results in an increase of about 1 %of the produced alpha capacity, resulting in a deduction of fuel consumption by about 1.5 %.Eventually fuel interest increased by about 1 %.",https://en.civilica.com/doc/1623554/
P0021,Copper particles synthesis by chemical revitalization method for use in print electronics,9th International Conference & Exhibition on Materials Science & Metallurgical Engineering (iMat2020),2020,"In this study, it was concluded that the synthesis by chemical revitalization is a favorable way to produce copper particles, thus preventing oxide phases.The resurrection and sustainables used in the chemical revitalization method of ascorbic acid and polyvin leprolidone can be named.One of the effective parameters in the synthesis is the chemical regeneration method of revitalization and the stable and temperature concentration, which must be used to achieve the optimal outcome for each variable.As the regenerative concentration increases, the size of the produced particles decreases and with the increase in the stable concentration, the tendency to become less particles.",https://en.civilica.com/doc/1133398/
P0022,Sustainability and mechanism of germanium-carbon coatings in the salt fog environment,Iranian Journal of Surface Science and Engineering,2020,"In the present study, germanium-X-CX coatings were deposited by plasma chemical sedimentation process (PECVD) using GEH3 and CH3 pre-materials on silicum and glass substrates.The salt fog test was used to investigate the environmental stability of the coatings.For the purpose of microstructural and transplanted coatings, field electronic microscopy (FESEM), respectively, was used with Energy Separation spectroscopy (EDS) and XPSSPS.The physical quality of the samples after 6 hours of exposure to the salt fog showed the very sustainable stability of all the germanium-carbon coatings given in different conditions;There was no trace of being cut, scaling, cracking and blistering on the samples.The microscopic evaluations of the scanning electron from the surface of the coatings also proved this.Parts of the edges of the coating were destroyed only to cover the GE3-X-CX.The coating destruction mechanism was recognized as blisters and crack development by penetrating water molecules into a free -coating/ sub -chapter.",https://en.civilica.com/doc/1361796/
P0023,Investigating the effective parameters in the dotterium-tritium fuel interest in the shock-laser shock method with laser beam,KARAFAN,2021,"The shock is one of the ways in which the idea of ​​coexistence is the enclosure.In this method, the boiling, the two -step enclosure, compression and fuel flammation are made separately, which reduces the requirements of the launch and enhances the utilization.In the idea of ​​shock flammability, a strong spherical shock wave at the end of the initial laser pulse causes the fuse of compressed fuel.In shock flammability, when the hot stain pressure is much larger than the cold fuel pressure around it, the fuel structure is considered as non -pressure.In this study, flammable and fuel-interest conditions are investigated in shock flammability, then improves fuel interest relationships as well as the radius of hot stain in the non-stress model and with the numerical results of the fuel-based dualium-tritium (DT) in the method.Shock, compared.Calculations indicate that the conditions of hot stain formation depend on the density of the hot stain and the cold fuel around it.Also, using improved energy interest equation, the role of physical parameters;Including fuel mass and various ratios of hot stain pressure to the cold fuel pressure surrounding it was investigated in energy interest.",https://en.civilica.com/doc/1271749/
P0024,The criterion of the permissible parameters of the hot stain in the fuel of the tireium tireium ion,Iranian Journal of Applied Physics,2023,"Before the start of its creation, fuel may be from various paths, including the targeting material of the targeting layer, the Holram wall, the interaction of the conical conducting cone -led by the internal explosion and the cone tip, leading to the release and mixing of their constructive elements into the plasma environment.Crown and even pure DT density fuel.First, within the framework of the central girlfriend, its permissible area of ​​the hot stain of DT was drawn on the HS-TS plate and showed that for a certain input percentage of the impurities of gold, with the relative increase in the internal explosion speed, the boundary boundary boundary rangeIt can be found at the internal explosion speeds smaller than cm/s.1.1.Also, for common metal pollutants, an increase in impurities in the hot stain area will limit the permissible parameters, which will gradually extinguish hot stain.In the context of its fast-paced idea, the hot spot density was extracted from carbon and gold impure ions in the non-fragmented doctrium plasma.Accordingly, the curves of the permissible surface density parameter were drawn in the two-led pattern on the TE-T-plate.It was shown that with the increase in impurities, we will see a sharp increase in the outlet from the hot stain boundary, resulting in a reduced speed range and its fuel conditions much more difficult than pure fuel.The sensitivity of these changes is directly dependent on the coefficient of increased power radiation, which is a function of the αIMP impurities percentage parameters and the ion nucleus (its ionization degree), ZIMP.In addition, in peer curves, the minimum ion temperature permissible to start its cream is also visible in the dotterium-penetum metallic vehicle fuel.",https://en.civilica.com/doc/1803768/
P0025,Production and characterization of Bamgal۱۰O2: EU1+ and reviews it as an detector in beta particulate matter,Scientific Journal of Advanced Defense Science and Technology,2021,"In this work, the nanoparticles of the Bamgal۱۰O2 were prepared with and without doping with the EU۲+ by a new, simple combination of urea and glycine without the use of a revival atmosphere.Mortrock, structure, phase purity and nanoparticles were examined, respectively, with the scanning electron microscopy (Fe-sem), XRD pattern, and photoluminescence (PL), respectively.The effect of urea fuel was studied alone in combination with glycine in the revival of EU3+ to EU1+.The results of the morphology and X -ray diffraction represent the structure of a narrow rice similar to rice seeds in about 1 to 2 nm with almost high purity.In the sample of Urugus and synthesized with combined urea and glycine fuel, the photoluminescent emission spectrum was observed in the wavelength range of 1 to 2 nm with a centrality of 1 nm.The sample sausage response to the radiation of the 4SR and 4AM springs was evaluated as the springs of pregnant and gamma particles and the ability to separate beta and gamma radiation in the 4YS / Springs.The results showed that Bamgal۱۰O2 nanoparticles duplicated with EU+1 showed good sensitivity to beta particles and can be a good option for beta particle detection applications.",https://en.civilica.com/doc/1223935/
P0026,Thermo -Eraulic Analysis of a Circular Fuel Complex in Normal Conditions of Tehran Research Reactor Reactor Reactor,journal of nuclear Science and technology,2022,"The purpose of this article is to investigate the ability to use fuel with circular geometry (Tubular) in Tehran's research reactor from the thermo -racic perspective.Circular fuels have been successfully used in many Russian model research reactors in recent decades.The most important benefits of this fuel include a higher neutron flux, more reactive, and the need for less fuel loading compared to the current plate fuel.In this study, by selecting a M4irt-type-type fuel complex, which is more geometrically compatible with the geometry and dimensions of the heart holder network, and its modeling in Fluent software as well as relaps/mod.1, the thermoedulical parametersThe complex was calculated in the operating conditions of a standard fuel element.The results of these calculations showed that the maximum temperature of the sheath in both tools used is lower than the ˚C value, which indicates that without change in the current heart discharge, the heat produced in the circular fuel can be well harvested..Also, the maximum fuel temperature is less than the maximum fuel temperature in the current standard fuel element, which is another advantage for circular fuel.",https://en.civilica.com/doc/1430032/
P0027,Evaluation of neutron -induced dose level around a DD/DT neutron generator and a suitable shield design for standing user,Iranian Journal of Radiation Safety and Measurement,2020,"Neutron generators have different applications as neutron springs.In recent years, many efforts have been made to develop high -production neutron generators.As such, it is necessary to consider beam protection during the operation of neutron generators.In this study, with the help of MCNPX code, the effective dose of neutron was first calculated and evaluated around a neutron generator.The results show that neutron dose in neutron generators depends on the position of the device and the type of neutron generator.The dose is about 5 times higher than DD generators.The results also show that with an increase in the distance by up to five meters, the dose rate decreases by about 20 times.Increasing distance is one of the effective ways to reduce dose, but in laboratories where there is not enough space, a proper shield should be designed.
For the right protection design, shields in 2 different genres (Alf2, baled-polyethylene, Concrete ۲۰۱۰, paraphfine, polyethylene, non-baled, solid-boric-aacid) and in thicknesses 1, 2, 2, 2 and 2, and 2Centter was designed and the components of gamma flux, effective dose of gamma, thermal neutrons, super thermal neutrons, rapid neutrons flux, total neutron flux, and effective dosage of neutrons were calculated in hypothetical spherical phantom.The results showed that Baled-Polyetheylene shield for both DD and DT springs at the thickness of 2 cm has the lowest dose neutron and also in the thickness of 2 cm with lower gamma dose compared to other shields in both DD and DT springsIs.",https://en.civilica.com/doc/1423093/
P0028,Investigating and analyzing Tehran Research Reactor Analysis in critical times,Third National Conference on Interdisciplinary Research in Engineering and Management,2021,"Research reactors have a wider range of design, fuel composition and functionality than power reactors.The need for greater flexibility in using them requires comprehensive approaches to safety analysis.According to the International Atomic Energy Agency's documents, nuclear research reactors are divided into four categories, with the Tehran Research Reactor being the second category of moderate risk.This risk can be due to specific tests in the Tehran reactor, including fuel tests, from 1 to 2. Some activities have been carried out to increase safety in the country's research reactors, but because reactors have reactors.The various and varied parts of the electrical, mechanical, precision tools, structural, etc. are not considered in the safety studies of this part of the fuel preservative.Being a long time has been the design and operation of a past reactor causes burnout over time, continuous exploitation of these facilities, and the said advances need to update and make changes to increase safety and reduce the risks.Enjoying.Therefore, the purpose of this study is to analyze the neutronic heart of the Tehran Research Reactor Reactor and to assess and enhance the safety systems of Tehran Research Reactor during nuclear accidents using MCNPX code modeling.To enhance the safety system in this research, it sought to focus on fuel maintenance networks, the most optimized secondary shutdown system in the events novel for the reactor.Code calculations showed that by creating a distance of 2 cm between rows 1 and 2 heart reactors, the neutron population can be significantly reduced and the reactor is turned off.The calculations of neutronic and thermidaling parameters of the heart of the reactor conducted by the code in this article also proved this fact.",https://en.civilica.com/doc/1418335/
P0029,Improvement of the immune system and neutronic analysis of Tehran Research Reactor during nuclear accidents,The International Conference on Interdisciplinary Studies in Management and Engineering,2019,"The purpose of this study was to analyze the neutronic heart of the Tehran Research Reactor Reactor and to assess and upgrade of Tehran's research reactor safety systems during nuclear accidents using modeling by nuclear simulator codes with probabilities, Monte Carlo.Therefore, after modeling the reactor with MCNPX nuclear simulator code, neutronic parameters such as reproduction, surplus reactive, flux in different energy intervals and different heart layout modes were calculated and the value of the control bars were calculated and the values ​​of the calculation were calculated.In order to ensure the accuracy of the modeling performed, they were compared with various reports and articles, with the results showing good compatibility with the results presented in the various modeling in this article with previous reports and articles.In another part of the calculations, by evaluating the safety of the heart, a passive immune system was designed to reduce the neutron population and thus to shut down the reactor during accidents with changes to the preservative pages to select the most optimal layout to reach the goal.",https://en.civilica.com/doc/1022930/
P0030,Experimental and Numerical Analysis The effect of using two pierced plates in front of the target plate against ballistic impact,Journal of Solid and Fluid Mechanics,2022,"The use of perforated plates as part of an armored plate set to protect people and equipment in front of the target page has been a while that has been attracted by researchers.For this purpose, so far, the use of a perforated plate in front of the target plate has been considered and it has been found that the use of a perforated plate in the armored plate set has many advantages.But this set of plate will not be able to provide 2% ballistic protection.For this reason, the idea of ​​using two perforated plates in front of the base plate has been introduced, and in this study the consequences of this type of layout have been analyzed by conducting various empirical and numerical studies.Observations indicate that using two pierced plates in front of the base plate, although they increase their thickness and weight, at the same time the ballistic protection of the armored plates against inlet projectiles, especially in the weaknesses of using a oneThe perforated plate in front of the base plate improves.By comparing the deformations resulting in experimental experiments and numerical simulations performed using LS-DYNA software, good convergence between the results has been observed.",https://en.civilica.com/doc/1596856/
